"","params_calibration_HIV_Epi_Behavior","params_calibration_Phylo","params_calibration_combined","params_master_model","parameter space"
"dissolution.alpha_0","-0.514 ( -0.654 , -0.397 )","-0.52 ( -0.652 , -0.39 )","-0.514 ( -0.653 , -0.391 )",-0.52,"( -0.78 , -0.26 )"
"dissolution.alpha_4","-0.053 ( -0.064 , -0.041 )","-0.052 ( -0.063 , -0.04 )","-0.053 ( -0.064 , -0.041 )",-0.05,"( -0.075 , -0.025 )"
"formation.hazard.agegapry.baseline","1.957 ( 1.513 , 2.401 )","1.976 ( 1.546 , 2.409 )","1.965 ( 1.54 , 2.398 )",2,"( 1 , 3 )"
"person.agegap.man.dist.normal.mu","10.277 ( 8.287 , 12.324 )","9.666 ( 7.433 , 11.913 )","10.11 ( 7.949 , 12.195 )",10,"( 5 , 15 )"
"formation.hazard.agegapry.gap_agescale_man","4.898 ( 3.84 , 6.128 )","4.989 ( 3.728 , 6.248 )","4.96 ( 3.839 , 6.191 )",5,"( 2.5 , 7.5 )"
"person.agegap.man.dist.normal.sigma","0.255 ( 0.2 , 0.308 )","0.244 ( 0.186 , 0.299 )","0.252 ( 0.198 , 0.306 )",0.25,"( 0.125 , 0.375 )"
"formation.hazard.agegapry.numrel_man","-0.299 ( -0.371 , -0.23 )","-0.302 ( -0.37 , -0.237 )","-0.302 ( -0.371 , -0.239 )",-0.3,"( -0.45 , -0.15 )"
"formation.hazard.agegapry.numrel_diff","-0.101 ( -0.126 , -0.076 )","-0.099 ( -0.122 , -0.074 )","-0.1 ( -0.124 , -0.075 )",-0.1,"( -0.15 , -0.05 )"
"hivtransmission.param.a","-1.016 ( -1.215 , -0.739 )","-0.977 ( -1.195 , -0.726 )","-0.997 ( -1.216 , -0.739 )",-1,"( -1.5 , -0.5 )"
"hivtransmission.param.b","-85.888 ( -109.426 , -65.1 )","-84.888 ( -107.133 , -64.703 )","-85.927 ( -109.915 , -65.038 )",-90,"( -135 , -45 )"
"hivtransmission.param.c","0.589 ( 0.501 , 0.662 )","0.599 ( 0.512 , 0.676 )","0.59 ( 0.507 , 0.662 )",0.5,"( 0.25 , 0.75 )"
"hivtransmission.param.f1","0.048 ( 0.036 , 0.061 )","0.048 ( 0.036 , 0.06 )","0.048 ( 0.036 , 0.06 )",0.048,"( 0.024 , 0.072 )"
"hivtransmission.param.f2","-0.142 ( -0.177 , -0.106 )","-0.142 ( -0.18 , -0.106 )","-0.141 ( -0.177 , -0.105 )",-0.14,"( -0.21 , -0.07 )"
